Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
01.Aug 2018|16.230|13.085|5.814|16.814|22.095|3.223|3.434|25.590|28.746|2.789|3.457|7.962|1.516|5.958|32.010|20.737|19.564|1.958|1.174|5.383|2.683|14.892|41.335|5.991|5.534|34.839|2.485|16.080|66.109|4.440|21.889|30.751|1.650
02.Aug 2018|16.224|13.090|5.834|16.909|22.168|3.221|3.435|25.600|28.720|2.808|3.456|7.954|1.523|5.974|32.088|20.645|19.785|1.950|1.175|5.407|2.682|14.880|41.504|5.978|5.538|34.834|2.485|16.125|66.185|4.358|22.040|30.924|1.639
03.Aug 2018|16.356|13.118|5.912|17.008|22.259|3.242|3.443|25.660|28.815|2.821|3.464|8.002|1.528|5.995|32.275|20.761|19.844|1.969|1.186|5.424|2.689|14.945|41.717|6.022|5.553|34.982|2.487|16.202|66.597|4.352|22.144|30.997|1.657
06.Aug 2018|16.413|13.115|5.997|17.064|22.279|3.245|3.442|25.650|28.732|2.831|3.458|8.002|1.536|5.996|32.267|20.719|19.932|1.974|1.196|5.447|2.691|14.954|42.024|6.003|5.543|34.914|2.489|16.235|66.610|4.301|22.221|31.031|1.655
07.Aug 2018|16.416|13.094|5.950|17.019|22.209|3.237|3.436|25.605|28.617|2.812|3.452|8.003|1.529|5.991|32.136|20.683|19.870|1.971|1.199|5.415|2.696|14.897|41.789|6.022|5.514|34.796|2.480|16.186|66.463|4.167|22.072|30.790|1.661
08.Aug 2018|16.350|13.079|5.878|16.873|22.162|3.230|3.432|25.580|28.402|2.812|3.441|8.012|1.529|5.992|32.168|20.629|19.877|1.970|1.193|5.417|2.684|14.872|41.636|6.005|5.509|34.075|2.463|16.178|66.452|4.175|22.076|30.869|1.644
09.Aug 2018|16.365|13.073|5.822|16.922|22.212|3.235|3.429|25.570|28.429|2.810|3.438|7.986|1.531|5.987|32.130|20.555|19.846|1.970|1.187|5.412|2.679|14.677|41.594|5.984|5.501|33.428|2.462|16.179|66.508|4.083|22.057|30.821|1.635
10.Aug 2018|16.352|13.107|5.840|17.089|22.504|3.268|3.439|25.635|28.589|2.851|3.449|7.942|1.546|6.035|32.512|20.574|20.175|1.982|1.184|5.478|2.689|14.762|42.140|5.974|5.502|33.382|2.459|16.322|67.266|3.706|22.377|31.279|1.610
13.Aug 2018|16.373|13.119|5.762|17.111|22.632|3.269|3.443|25.660|28.722|2.867|3.455|7.922|1.542|6.077|32.138|20.660|20.345|1.982|1.172|5.499|2.693|14.802|42.091|5.972|5.508|33.112|2.465|16.356|67.414|3.257|22.503|31.307|1.565
14.Aug 2018|16.369|13.136|5.822|17.230|22.740|3.275|3.446|25.690|28.775|2.869|3.460|7.960|1.545|6.101|32.223|20.718|20.323|1.997|1.187|5.497|2.696|14.870|42.109|5.976|5.517|33.864|2.477|16.396|67.698|3.456|22.524|31.254|1.588
15.Aug 2018|16.408|13.145|5.811|17.333|22.774|3.284|3.448|25.710|28.846|2.893|3.461|7.913|1.555|6.150|32.479|20.700|20.459|2.000|1.186|5.534|2.692|14.890|42.360|5.939|5.523|33.834|2.471|16.452|68.082|3.708|22.709|31.530|1.552
16.Aug 2018|16.425|13.137|5.812|17.202|22.746|3.280|3.446|25.700|28.717|2.880|3.462|7.920|1.547|6.126|32.203|20.793|20.396|2.001|1.185|5.507|2.673|14.886|42.300|5.957|5.515|33.705|2.455|16.425|67.948|3.874|22.606|31.273|1.550
17.Aug 2018|16.421|13.156|5.716|17.175|22.691|3.282|3.450|25.730|28.725|2.877|3.467|7.945|1.546|6.153|32.188|20.953|20.460|2.006|1.181|5.499|2.658|14.913|42.243|5.969|5.527|33.492|2.452|16.438|67.922|3.669|22.583|31.299|1.515
20.Aug 2018|16.444|13.142|5.735|17.221|22.617|3.282|3.446|25.705|28.726|2.867|3.466|7.944|1.543|6.147|32.236|20.898|20.361|2.006|1.188|5.489|2.658|14.897|42.170|5.973|5.529|33.503|2.450|16.408|68.130|3.682|22.509|31.242|1.543
21.Aug 2018|16.439|13.160|5.643|17.185|22.636|3.270|3.451|25.740|28.686|2.850|3.469|7.958|1.535|6.120|32.050|20.725|20.265|1.998|1.182|5.461|2.652|14.894|41.860|5.975|5.546|33.126|2.449|16.354|68.360|3.642|22.376|31.085|1.549
22.Aug 2018|16.298|13.150|5.485|17.007|22.564|3.238|3.449|25.725|28.605|2.822|3.462|7.966|1.519|6.093|31.688|20.613|20.087|1.981|1.175|5.405|2.657|14.854|41.473|6.007|5.534|32.601|2.448|16.221|67.680|3.669|22.149|30.901|1.551
23.Aug 2018|16.183|13.145|5.473|17.040|22.590|3.229|3.447|25.710|28.610|2.829|3.457|7.939|1.518|6.107|31.670|20.568|20.040|1.978|1.183|5.410|2.665|14.818|41.520|6.010|5.543|32.712|2.444|16.209|67.747|3.658|22.207|31.047|1.561
24.Aug 2018|16.225|13.163|5.435|17.006|22.587|3.249|3.451|25.745|28.549|2.830|3.461|7.939|1.517|6.118|31.781|20.596|19.963|1.992|1.175|5.408|2.656|14.812|41.606|6.017|5.549|32.906|2.432|16.230|67.958|3.668|22.218|31.037|1.559
27.Aug 2018|16.206|13.163|5.410|16.956|22.525|3.243|3.452|25.745|28.485|2.819|3.462|7.949|1.513|6.087|31.536|20.662|19.930|1.989|1.180|5.394|2.655|14.784|41.518|6.028|5.545|32.894|2.426|16.206|67.865|3.574|22.127|30.895|1.547
